SG_UF_PROVA;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_COORDENACAO;CO_LOCAL;NO_LOCAL_PROVA
PB;2516904;UIRAUNA;;P1122;PPL - CADEIA PUBLICA DE UIRAUNA
PE;2611101;PETROLINA;;P1124;PPL - PENITENCIARIA DR EDVALDO GOMES
PE;2610905;PESQUEIRA;;P1125;PPL - PRESIDIO DESEMBARGADOR AUGUSTO DUQUE
PE;2610004;PALMARES;;P1127;PPL - PRESIDIO DR RORINILDO DA ROCHA LEAO
MS;5002704;CAMPO GRANDE;;P1128;PPL - ESTABELECIMENTO PENAL JAIR FERREIRA DE CARVALHO
RO;1100189;PIMENTA BUENO;;P1129;PPL - CASA DE DETENCAO DE PIMENTA BUENO
PI;2202208;CAMPO MAIOR;;P113;PPL - COLONIA AGRICOLA PENAL MAJOR CESAR OLIVEIRA
RO;1100114;JARU;;P1131;PPL - CASA DE PRISAO ALBERGUE DE JARU E SEMIABERTO
RO;1100320;SAO MIGUEL DO GUAPORE;;P1133;PPL - CADEIA PUBLICA DE SAO MIGUEL DO GUAPORE
RR;1400100;BOA VISTA;;P1136;PPL - CENTRO DE PROGRESSAO PENITENCIARIA  CPP
MA;2111300;SAO LUIS;;P1139;PPL - UPR DE SAO LUIS 3
MA;2111300;SAO LUIS;;P1140;PPL - UNIDADE PRISIONAL DE RESSOCIALIZACAO MONTE CASTELO
PB;2507507;JOAO PESSOA;;P1144;PPL - PENITENCIARIA DESEMBARGADOR SILVIO PORTO  OFICIAL
PB;2500700;SAO JOAO DO RIO DO PEIXE;;P1146;PPL - CADEIA PUBLICA DE SAO JOAO DO RIO DO PEIXE
PB;2503704;CAJAZEIRAS;;P1147;PPL - CADEIA PUBLICA FEMININA DE CAJAZEIRAS
MS;5003207;CORUMBA;;P115;PPL - UNIDADE EDUCACIONAL DE INTERNACAO MASCULINA PANTANAL
MT;5105622;MIRASSOL D OESTE;;P1153;PPL - CADEIA PUBLICA DE MIRASSOL DOESTE
AL;2704302;MACEIO;;P1155;PPL - ESTABELECIMENTO PRISIONAL FEMININO SANTA LUZIA  EPFSL
BA;2932903;VALENCA;;P1156;PPL - CONJUNTO PENAL DE VALENCA
BA;2927408;SALVADOR;;P1157;PPL - CONJUNTO PENAL FEMININO
MT;5105150;JUINA;;P1161;PPL - CADEIA PUBLICA DE JUINA
MT;5106778;PORTO ALEGRE DO NORTE;;P1162;PPL - CADEIA PUBLICA DE PORTO ALEGRE DO NORTE
PE;2600054;ABREU E LIMA;;P1163;PPL - COLONIA PENAL FEMININA DE ABREU E LIMA
PB;2507507;JOAO PESSOA;;P1165;PPL - CENTRO SOCIOEDUCATIVO  RITA GADELHA
MT;5102504;CACERES;;P1166;PPL - CADEIA PUBLICA DE CACERES FEMININA
GO;5211800;JARAGUA;;P1167;PPL - UNIDADE PRISIONAL DE JARAGUA
GO;5208004;FORMOSA;;P1169;PPL - CASA DE PRISAO PROVISORIA DE FORMOSA
GO;5201405;APARECIDA DE GOIANIA;;P1171;PPL - PENITENCIARIA FEMININA CONSUELO NASSER
GO;5208608;GOIANESIA;;P1173;PPL - UNIDADE PRISIONAL DE GOIANESIA
GO;5218003;PORANGATU;;P1175;PPL - UNIDADE PRISIONAL DE PORANGATU
GO;5201405;APARECIDA DE GOIANIA;;P1176;PPL - CASA DE PRISAO PROVISORIA DE APARECIDA DE GOIANIA
AL;2704302;MACEIO;;P118;PPL - UNIDADE DE INTERNACAO MASCULINA
BA;2910800;FEIRA DE SANTANA;;P119;PPL - CASE ZILDA ARNS  COMUNIDADE DE ATENDIMENTO SOCIOEDUCATIVO
GO;5200134;ACREUNA;;P1191;PPL - UNIDADE PRISIONAL DE ACREUNA
GO;5211206;ITAPURANGA;;P1192;PPL - UNIDADE PRISIONAL DE ITAPURANGA
CE;2304400;FORTALEZA;;P1194;PPL - CENTRO SOCIOEDUCATIVO ALDACI BARBOSA MOTA
CE;2304400;FORTALEZA;;P1195;PPL - CENTRO EDUCACIONAL SAO MIGUEL
ES;3201308;CARIACICA;;P1196;PPL - CENTRO SOCIOEDUCATIVO DE ATENDIMENTO AO ADOLESCENTE EM CONFLITO COM A LEI  CSE
RS;4307500;ESPUMOSO;;P120;PPL - PRESIDIO ESTADUAL DE ESPUMOSO
PR;4115200;MARINGA;;P1201;PPL - PENITENCIARIA ESTADUAL DE MARINGA
PR;4108403;FRANCISCO BELTRAO;;P1203;PPL - PENITENCIARIA ESTADUAL DE FRANCISCO BELTRAO
SC;4203600;CAMPOS NOVOS;;P1204;PPL - UNIDADE PRISIONAL AVANCADA DE CAMPOS NOVOS
AM;1301902;ITACOATIARA;;P1207;PPL - UNIDADE PRISIONAL DE ITACOATIARA
AM;1302603;MANAUS;;P1208;PPL - CENTRO DE DETENCAO PROVISORIA DE MANAUS I
RS;4320800;SOLEDADE;;P121;PPL - PRESIDIO ESTADUAL DE SOLEDADE
PI;2207009;OEIRAS;;P1210;PPL - PENITENCIARIA REGIONAL MARIA DE COTA
PI;2207009;OEIRAS;;P1210;PPL - PENITENCIARIA REGIONAL MARIA DE COTA
PI;2203909;FLORIANO;;P1211;PPL - PENITENCIARIA GONCALO DE CASTRO LIMA VEREDA GRANDE
PR;4115200;MARINGA;;P1212;PPL - COLONIA PENAL INDUSTRIAL DE MARINGA
RO;1100049;CACOAL;;P1213;PPL - UNIDADE SOCIOEDUCATIVA DE CACOAL
RS;4317301;SANTA VITORIA DO PALMAR;;P1216;PPL - PRESIDIO ESTADUAL DE SANTA VITORIA DO PALMAR
DF;5300108;BRASILIA;;P1217;PPL - UNIDADE DE INTERNACAO DO RECANTO DAS EMASUNIRE
RS;4313300;NOVA PRATA;;P122;PPL - PRESIDIO ESTADUAL DE NOVA PRATA
SC;4202305;BIGUACU;;P1220;PPL - PRESIDIO MASCULINO DE BIGUACU
SC;4216057;SAO CRISTOVAO DO SUL;;P1221;PPL - PENITENCIARIA REGIONAL DE CURITIBANOS
