SG_UF_PROVA;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_COORDENACAO;CO_LOCAL;NO_LOCAL_PROVA
PA;1500107;ABAETETUBA;50014;;CSFX - COLÉGIO SÃO FRANCISCO XAVIER
PB;2515302;SAPE;50460;;ESCOLA TÉCNICA ESTADUAL DE SAÚDE PROFESSOR CLÓRIS TORRES
PB;2510808;PATOS;50473;;UFCG - CENTRO DE SAÚDE E TECNOLOGIA RURAL
MS;5001102;AQUIDAUANA;50418;;E.E CÂNDIDO MARIANO
MS;5005608;MIRANDA;50438;;ESCOLA ESTADUAL CARMELITA CANALE REBUÁ
MS;5005400;MARACAJU;50437;;ESCOLA ESTADUAL CAMBARAI
PE;2601706;BELO JARDIM;50351;;EREM  DE BELO JARDIM
PE;2604106;CARUARU;50362;;CENTRO UNIVERSITARIO UNIFAVIP - WYDEN
PE;2605152;DORMENTES;50373;;ESCOLA MAURÍCIO JOSÉ ROLIM CAVALCANTI
PE;2611101;PETROLINA;50374;;UNIVASF-UNIVERSIDADE FEDERAL DO VALE DO SÃO FRANCISCO
AM;1303106;NOVA OLINDA DO NORTE;50129;;INSTITUTO FACUP - FAMETRO - POLO NOVA OLINDA
AM;1300300;AUTAZES;50136;;FAMETRO - POLO AUTAZES
AM;1300805;BORBA;50130;;ESCOLA ESTADUAL LOTHAR SUSSMANN
AM;1300607;BENJAMIN CONSTANT;50127;;UFAM-INSTITUTO DE NATUREZA E CULTURA
AC;1200013;ACRELANDIA;50103;;POLO UAB ACRELÂNDIA
AM;1304302;URUCARA;50139;;CETI PEDRO FALABELLA
PI;2207009;OEIRAS;50179;;UNIVERSIDADE ESTADUAL DO PIAUÍ (UESPI) - CAMPUS PROFESSOR POSSIDÔNIO QUEIROZ
MA;2105401;ITAPECURU MIRIM;50320;;UEB PROFESSOR JOÃO DA SILVA RODRIGUES
MA;2101251;BACABEIRA;50302;;CESBA CENTRO DE ENSINO SUPERIOR DE BACABEIRA
AL;2709301;UNIAO DOS PALMARES;50508;;ESCOLA ESTADUAL DR. PAULO DE CASTRO SARMENTO
CE;2302404;BOA VIAGEM;50531;;E.E.E.P. VENCESLAU VIEIRA BATISTA
PB;2504009;CAMPINA GRANDE;50483;;UFCG - CAMPUS CAMPINA GRANDE
PB;2509701;MONTEIRO;50485;;IFPB CAMPUS MONTEIRO
